id,fpkm_unstranded,fpkm_uq_unstranded
db70cd04-821e-43a7-bac1-815a30172be1,2.9757,2.8638
139b1f70-02f6-4f5e-84b3-81d3677b3f8c,0.206,0.1826
195d8bd4-352c-4407-9319-797d915c72b8,0.5089,0.517
1008e8d8-a93c-4779-80b6-1272322e7c52,1.3731,1.3974
f988afae-48f8-4ecc-bb84-87924b454bf0,1.4447,1.3374
6e209f42-3c0f-4f05-83d7-c982448ccb87,0.927,0.9013
e38d31b7-ad89-4fff-93d5-05f49998727b,0.8838,0.8252
ef2a6bd9-fe3b-4b67-942c-89f3a34813ad,0.4182,0.3987
a410ae33-9070-4d1d-886a-21f04666a6c7,0.2579,0.2853
3ccab1b1-39f2-4947-bbac-1c25750f0464,2.3395,2.507
2c1b1cbb-6e9f-4416-8faa-abb31d6b4e0e,0.5021,0.4932
fa94f266-1ed4-440a-8d10-3c72ce4100ba,0.3101,0.3652
83f93d3f-d038-4773-a671-0f218f53821c,5.0198,5.3799
cab9ff29-e575-45e2-a411-1bfdc2e2610c,0.8367,0.863
0361ec21-e83f-40a9-b825-d92487b1239a,0.9557,0.931
27c65ed6-9e9d-4a9d-9b6f-76d2a12f7699,1.5116,1.4784
57d2c12f-e3ae-457b-b92c-22002aecdba0,1.2054,1.2714
5a61d29b-5ae6-41b6-8842-865463f72990,1.633,1.6177
4e01a01d-eded-4d02-b8aa-1920c6997726,1.5215,1.5474
0a133c47-fae8-4e3b-8f4d-cbf357f5e2fc,0.9218,0.9555
78142fe5-7a8a-49dd-87b5-6a1e6427893e,1.6367,1.4378
bc4ac436-ed5f-4774-867d-a6bdd7e14486,0.9258,0.8611
a852a227-c31f-410f-baee-81135917a7d2,2.5689,2.4839
56c85bd5-c353-457a-94a9-91a3cc0ac4e0,1.514,1.4362
0d71189d-6801-4d6b-b306-22efcaa2564a,2.9606,2.7432
8c92ecf0-5d81-48c3-ad9f-9adf51860962,0.7236,0.721
951bac30-0a85-4dd8-8470-c1a3b84817f9,0.2481,0.2401
02bbe1b1-44ff-426b-a40e-47a01bc4cf7d,0.9976,0.9629
d5a1a331-cd5b-448f-adf6-ea393565ef26,0.9617,0.9804
63eff205-4fd4-4148-a596-2f7c17da328f,1.3178,1.2973
3628bc49-6968-47a8-96e4-e47421a7152a,2.5063,2.4527
2f51534b-248b-4999-bc3f-e42a2e98332e,0.7395,0.7512
b6a8beee-f393-4d3b-943e-1c44fad65526,1.0832,1.1076
7de22a44-8f58-4a73-90a3-a16d161160e8,0.4236,0.4299
f79d6a7e-eaaa-4382-a5ed-600cf8d45824,0.4417,0.5521
934807ee-e303-43b7-938a-1721c6c31584,1.4011,1.5193
9d2a209e-f610-4bde-8265-ef7e7e7ac0c4,0.3103,0.2926
b8542fa9-5521-48bc-ae1b-4e12a1744e0d,0.7709,0.7674
ecf14d2a-e353-4674-9b3f-f0d11bcc9900,0.6467,0.7111
b1e1ae0d-4558-4d30-9b20-79aa40fa5a2a,1.9566,1.7244
240a1e61-5188-4249-b6dd-d6e0d7935d8d,2.8859,2.9719
e590db5d-2577-43ec-9d39-45a257be5562,0.2664,0.2634
f8efdeb0-a8f8-4e2d-a52e-43d033e4ce6f,0.2311,0.2294
22aac1ce-7a45-481b-b3f6-6393deeadcd6,0.6675,0.6965
3621ce2e-a1eb-4a45-ac06-779a780b0b99,1.4674,1.4139
b73f749f-eafa-460d-b921-f12e7f8d6609,0.4244,0.5873
ce52c9b2-ab83-4efa-8abf-97475dcf892d,1.0057,0.9711
a2b566c2-bdbc-41c0-a9dc-8207582e1a51,1.414,1.2736
8408e231-e0d2-4650-b269-9a7f7ff4a597,0.6834,0.7259
c5d4a1ed-8fd3-4435-96f5-ea5e56326f20,1.7445,1.7298
b1366128-6ab0-4205-ae2b-a854e8ad45bf,1.8465,1.6398
6365a756-2e65-42cb-be4f-1f726915ca94,0.4619,0.4249
231b4ae3-8543-47f4-a9f6-0ac26210b26d,0.6687,0.6542
0e2d6467-d90b-40dc-813c-fa4f8a0f4d07,1.1066,1.131
f602fb69-df50-4b19-8e14-c1979a120119,0.9986,0.9629
a29c8616-0f82-4515-870e-68887a628c92,0.7277,0.7247
cd215363-3f4a-4928-9dbb-60735f4c27ce,1.9753,2.2297
fff3f42f-5e42-4653-b91b-1676f914e9fa,1.0066,1.0467
7caf8867-7cff-4dbd-b611-4748d86590a8,0.6223,0.6171
4796719b-2fa2-40ee-9fa9-6a8caa703823,1.5992,1.5163
956570e5-7ed4-4d17-a830-f1bc67a7af15,1.5942,1.4685
e558015e-969b-4354-9bc9-219a60092734,3.0266,2.9852
b321a3f5-043d-42c6-8c9d-5784d45cb85c,0.3328,0.3096
967f7008-e212-4114-ab43-dc2a6295f80c,1.0792,1.0405
5991af25-0b64-43d2-867a-6b9713b17af9,0.8266,0.7743
37d359b3-d8f5-44cf-8f30-57dfdbbab8c1,0.6769,0.6133
23dace7d-4200-46ee-8501-96c4b5084851,1.1529,1.1688
c5bb9834-a08f-4729-9aec-22f9a2816184,0.6,0.5868
187f14ba-0002-4f99-9eb1-af93cbfdd4c2,1.1589,1.0978
fb49b14e-d40f-4270-98b3-458ce60f2cde,0.8011,0.7648
b3861080-a052-4432-82f8-193122ab29d4,1.3822,1.4263
eee9bac6-9fb4-4b3a-8b97-cebac861a00b,0.4015,0.3984
a3624554-07c8-41d7-9b6b-f4cbf9de9301,1.227,1.1697
bc1ed706-3abf-407c-9133-18169a4cf0e2,0.7288,0.6986
7830107d-bc45-4391-b95c-787a246cf059,0.8815,0.8236
5ea12b9b-56ac-4d0c-8761-bf172b2f23e0,0.6537,0.6447
053442de-6d8a-4811-b03c-be1c7a3f207c,0.5114,0.4914
34a0c8c5-8086-4f33-9ecb-7518035a4a7f,0.4664,0.4668
5c66dcbd-024b-4a7b-b3aa-bbbaaf91ae78,0.8984,0.8322
